latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,type,species,sumAtRisk,sumCases,sumDeaths
56.538381,16.119304,Europe,Sweden,Kalmar Laen,Kalmar,Exact,08-13-2017,08-18-2017,Confirmed,Newcastle Disease,Domestic, Chicken,4000,1600,0
16.8,96.15,Asia,Myanmar,Yangon,Yangon,Exact,07-23-2017,07-31-2017,Confirmed,Influenza - Avian,Domestic, Chicken,25,6,6
14.077525,98.196364,Asia,Myanmar,Taninthayi,We kyun htein thit,Exact,07-16-2017,07-25-2017,Confirmed,Influenza - Avian,Domestic, Chicken,25555,5440,5440
22.807541,120.307975,Asia,Taiwan (Province of China),Taiwan Sheng,Gangshan District,Exact,07-13-2017,07-31-2017,Confirmed,Influenza - Avian,Domestic, Chicken,1096,153,153
-26.3,28.2,Africa,South Africa,Gauteng,Ekurhuleni,Exact,07-06-2017,07-10-2017,Confirmed,Influenza - Avian,Domestic, Chicken,370000,39,39
-26.8,28.8,Africa,South Africa,Mpumalanga,"HPAI_H5N8_2017_002, Dipaleseng",Exact,06-20-2017,06-26-2017,Confirmed,Influenza - Avian,Domestic, Chicken,243000,25000,25000
-26.9,28.6,Africa,South Africa,Mpumalanga,Dipaleseng,Exact,06-19-2017,06-22-2017,Confirmed,Influenza - Avian,Domestic, Chicken,24000,5000,5000
23.220206,120.234848,Asia,Taiwan (Province of China),Taiwan Sheng,Xiaying District,Exact,06-15-2017,06-23-2017,Confirmed,Influenza - Avian,Domestic, Chicken,37000,2928,2928
22.87278,120.31427,Asia,Taiwan (Province of China),Taiwan Sheng,Alian District,Exact,06-13-2017,06-23-2017,Confirmed,Influenza - Avian,Domestic, Chicken,2252,44,44
23.721533,120.257885,Asia,Taiwan (Province of China),Taiwan Sheng,Dongshi Township,Exact,06-13-2017,06-23-2017,Confirmed,Influenza - Avian,Domestic, Chicken,12584,1576,1576
23.862076,120.409937,Asia,Taiwan (Province of China),Taiwan Sheng,Zhutang Township,Exact,06-11-2017,06-23-2017,Confirmed,Influenza - Avian,Domestic, Chicken,9340,710,710
23.7098,120.25006,Asia,Taiwan (Province of China),Taiwan Sheng,Dongshi Township,Exact,06-08-2017,06-16-2017,Confirmed,Influenza - Avian,Domestic, Chicken,14000,2767,2767
6.5048,1.1839,Africa,Togo,Maritime,"Maritime,Togo",Exact,06-07-2017,07-03-2017,Confirmed,Influenza - Avian,Domestic, Chicken,35000,3600,3448
24.012221,121.606669,Asia,Taiwan (Province of China),Taiwan Sheng,Hualien City,Exact,06-02-2017,06-23-2017,Confirmed,Influenza - Avian,Domestic, Chicken,32,10,10
11.8682,8.2715,Africa,Nigeria,Kano,D/Kudu,Exact,05-29-2017,06-02-2017,Confirmed,Influenza - Avian,Domestic, Chicken,13000,800,800
10.1873,7.6087,Africa,Nigeria,Kaduna,Igabi,Exact,05-28-2017,06-02-2017,Confirmed,Influenza - Avian,Domestic, Chicken,1200,400,400
23.584066,120.262667,Asia,Taiwan (Province of China),Taiwan Sheng,Beigang Township,Exact,05-25-2017,06-07-2017,Confirmed,Influenza - Avian,Domestic, Chicken,8248,3300,3300
23.79442,120.3097,Asia,Taiwan (Province of China),Taiwan Sheng,Lunbei Township,Exact,05-23-2017,06-07-2017,Confirmed,Influenza - Avian,Domestic, Chicken,10600,2135,2135
23.716681,120.250281,Asia,Taiwan (Province of China),Taiwan Sheng,Dongshi Township,Exact,05-20-2017,06-07-2017,Confirmed,Influenza - Avian,Domestic, Chicken,9544,450,450
22.633621,120.364069,Asia,Taiwan (Province of China),Taiwan Sheng,Fengshan District,Exact,05-17-2017,06-03-2017,Confirmed,Influenza - Avian,Domestic, Chicken,336,11,11
-18.0912723,30.9216241,Africa,Zimbabwe,Mashonaland East,LANARK,Exact,05-17-2017,06-01-2017,Confirmed,Influenza - Avian,Domestic, Chicken,2000000,7845,7845
9.2177,12.446,Africa,Nigeria,Adamawa,Yola,Exact,05-15-2017,06-15-2017,Confirmed,Influenza - Avian,Domestic, Chicken,200,50,50
23.850747,120.557778,Asia,Taiwan (Province of China),Taiwan Sheng,Dacheng Township,Exact,05-12-2017,06-03-2017,Confirmed,Influenza - Avian,Domestic, Chicken,18500,1083,1083
23.728601,120.244655,Asia,Taiwan (Province of China),Taiwan Sheng,Dongshi Township,Exact,05-08-2017,05-15-2017,Confirmed,Influenza - Avian,Domestic, Chicken,6353,16,16
51.89,9.1,Europe,Germany,Nordrhein-Westfalen,Schieder-Schwalenberg,Exact,05-08-2017,05-10-2017,Confirmed,Influenza - Avian,Domestic, Chicken,13,10,10
25.06313,121.44624,Asia,Taiwan (Province of China),Taiwan Sheng,Taishan District,Exact,05-07-2017,06-03-2017,Confirmed,Influenza - Avian,Domestic, Chicken,27,3,3
25.030189,121.489521,Asia,Taiwan (Province of China),Taiwan Sheng,Wanhua District,Exact,05-07-2017,06-03-2017,Confirmed,Influenza - Avian,Domestic, Chicken,100,12,12
23.728502,120.244385,Asia,Taiwan (Province of China),Taiwan Sheng,Dongshi Township,Exact,05-07-2017,05-15-2017,Confirmed,Influenza - Avian,Domestic, Chicken,9916,27,27
25.030189,121.489521,Asia,Taiwan (Province of China),Taiwan Sheng,Wanhua Distrct,Exact,05-06-2017,06-03-2017,Confirmed,Influenza - Avian,Domestic, Chicken,204,3,3
23.72809,120.24499,Asia,Taiwan (Province of China),Taiwan Sheng,Dongshi Township,Exact,05-01-2017,05-08-2017,Confirmed,Influenza - Avian,Domestic, Chicken,14000,6041,6041
22.803,120.565722,Asia,Taiwan (Province of China),Taiwan Sheng,Gaoshu Township,Exact,04-28-2017,05-08-2017,Confirmed,Influenza - Avian,Domestic, Chicken,20000,783,783
58.796388,16.733243,Europe,Sweden,Soedermanlands Laen,Stigtomta,Exact,04-22-2017,04-25-2017,Confirmed,Influenza - Avian,Domestic, Chicken,50000,12500,755
